2018-12-04 17:48:00.899 [main] INFO  c.a.l.s.autoConfiguration.LookoutAutoConfiguration - register extended metrics.
2018-12-04 17:48:00.956 [main] INFO  c.a.l.s.autoConfiguration.LookoutAutoConfiguration - Spring Boot Metrics binding to SOFALookout Implementation!
2018-12-04 17:48:01.293 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-12-04 17:48:01.308 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 's_t_d_s_simpleDataSource' has been autodetected for JMX exposure
2018-12-04 17:48:01.308 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Located MBean 's_t_d_s_simpleDataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=s_t_d_s_simpleDataSource,type=HikariDataSource]
2018-12-04 17:48:01.308 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Registering beans for JMX exposure on startup
2018-12-04 17:48:01.308 [main] INFO  o.s.context.support.DefaultLifecycleProcessor - Starting beans in phase 0
2018-12-04 17:48:01.308 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'auditEventsEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=auditEventsEndpoint]
2018-12-04 17:48:01.324 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'readinessCheck': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=readinessCheck]
2018-12-04 17:48:01.324 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'sofaBootVersionEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=sofaBootVersionEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'environmentEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=environmentEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'healthEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=healthEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'beansEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=beansEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'infoEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=infoEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'loggersEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=loggersEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'metricsEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=metricsEndpoint]
2018-12-04 17:48:01.340 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'traceEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=traceEndpoint]
2018-12-04 17:48:01.355 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'dumpEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=dumpEndpoint]
2018-12-04 17:48:01.355 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'autoConfigurationReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=autoConfigurationReportEndpoint]
2018-12-04 17:48:01.355 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'configurationPropertiesReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=configurationPropertiesReportEndpoint]
2018-12-04 17:48:21.422 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.remoting Logback ]
2018-12-04 17:48:22.342 [main] INFO  cloud.provider.SOFABootSpringApplication - Started SOFABootSpringApplication in 23.957 seconds (JVM running for 25.435)
2018-12-04 17:48:22.342 [main] INFO  cloud.provider.SOFABootSpringApplication - Sample Service Result = Hello, Service slitecore
2018-12-04 17:48:22.342 [main] INFO  cloud.provider.SOFABootSpringApplication - Current Application Context : org.springframework.context.annotation.AnnotationConfigApplicationContext@6a6cb05c: startup date [Tue Dec 04 17:47:59 CST 2018]; root of context hierarchy
2018-12-04 18:19:12.625 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2018-12-04 18:19:12.631 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.infra Logback ]
2018-12-04 18:19:12.646 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.mw.access in Java -D argument, put value uPxHLxsMmstcQCNWEh into System
